Estacao;Inverno;
;;
Rótulos de Linha;Média de TMIN;Média de TMAX
1917;8,5;25,5
1918;9;24,4
1919;10,7;25,6
1920;10,4;25,3
1921;10,1;26,3
1922;11,8;26,2
1923;10;24,7
1924;9,9;26,8
1925;10,6;26,4
1926;11,8;26,1
1927;10;24,5
1928;10,9;26,6
1929;10,7;26,1
1930;11,6;27
1931;10,6;26,1
1932;11,1;26,5
1933;9,8;26,3
1934;10,8;26,7
1935;12,2;26,4
1936;11,1;25,6
1937;11,4;27,7
1938;11,5;26,9
1939;10;24,9
1940;11,3;28,9
1941;11,4;25,5
1942;9,3;25,3
1943;9,8;26,1
1944;10,2;27,4
1945;12,1;26,7
1946;10,8;27,4
1947;10,6;24,5
1948;11;26,9
1949;10,5;26,8
1950;11,3;28
1951;9;25,9
1952;10,8;26,5
1953;10,1;26,8
1954;10,8;28,9
1955;10,4;27,1
1956;10,4;24,4
1957;11,5;24,7
1958;11,4;26
1959;11,1;28,3
1960;11,1;27,2
1961;11,3;28,9
1962;10,1;26,3
1963;10,2;29,4
1964;10,7;26,1
1965;11,5;27,2
1966;11,7;27,1
1967;11,9;28,1
1968;9,6;25,6
1969;11,5;27,9
1970;10,9;25,3
1971;11,4;27,2
1972;10,4;26,3
1973;;
1974;10,5;27,2
1975;11,4;28,4
1976;9;24,7
1977;11,7;28,2
1978;9,4;26
1979;10,4;25,5
1980;11;25,4
1981;10,1;26,7
1982;12,5;26,6
1983;11,8;25,6
1984;11,2;27,1
1985;10,1;27,3
1986;11,6;26,3
1987;11,1;26,4
1988;10;26,8
1989;10,2;25,3
1990;10,4;25,2
1991;11,8;26,7
1992;12,1;25,7
1993;11,9;26,5
1994;11,2;28
1995;13;28,4
1996;11,4;26,5
1997;12,4;27,6
1998;12,9;26,6
1999;11,9;27,4
2000;11,7;25,9
2001;11,9;26,4
2002;12,6;26,5
2003;10,9;26,6
2004;11,6;26,2
2005;12,6;26,4
2006;11,8;27,3
2007;12,3;27,5
2008;12,1;26,6
2009;13,6;25,8
2010;12,4;28,2
2011;12,6;27,9
2012;12,6;28,4
2013;13;28,6
2014;12,6;28,3
2015;13,8;28,3
2016;11,8;27,4
2017;11,6;27,5
2018;12,2;27,5
2019;12,6;28,2
2020;12,9;28,6
2021;11,8;28,8
2022;12,4;27,6
2023;13,3;28,6
2024;12,8;29,5
